,Prutor ID,How would you rate your Problem Solving abilities after this contest?,How would you rate your proficiency in coding in C after this contest?,How would you rate Q1?,How would you rate Q2?,How would you rate Q3?,How would you rate Q4?,How would you rate Q5?,How would you rate Q6?
1,101,3,4,3,1,1,4,5,3
2,102,2,1,4,5,3,5,3,2
3,103,3,3,3,3,3,4,4,3
4,104,4,4,5,5,4,5,4,3
5,105,3,3,3,3,3,3,3,3
6,106,3,3,3,5,5,5,5,3
7,107,3,2,4,4,4,4,4,4
8,108,3,3,2,4,3,4,4,3
9,109,3,4,2,3,1,3,4,3
10,110,3,4,3,1,1,4,4,4
11,111,3,4,4,5,4,4,5,5
12,112,2,3,3,3,4,4,4,4
13,113,2,4,5,5,4,5,4,5
14,114,2,3,3,3,2,2,2,1
15,115,2,2,5,4,4,5,4,3
16,116,4,3,3,3,4,5,4,4
17,117,3,5,3,1,4,3,5,2
18,118,4,4,2,1,1,2,4,3
19,119,4,2,5,4,4,2,4,4
20,120,4,4,3,3,1,4,5,1
21,121,5,5,3,3,4,5,4,5
22,122,3,4,3,1,1,3,5,4
23,123,2,3,4,4,5,5,5,4
24,124,3,3,4,4,4,5,4,4
25,125,3,3,3,3,3,3,3,3
26,126,3,3,3,2,2,2,2,2
27,128,2,2,2,2,2,2,2,2
28,129,2,2,2,2,2,3,3,2
29,130,2,3,3,3,3,5,5,4
30,131,4,4,5,5,5,5,5,5
31,132,3,3,4,1,1,4,5,4
32,133,3,4,4,2,2,3,4,4
33,134,4,5,4,4,4,4,4,5
34,135,4,3,3,3,2,5,5,3
35,136,3,3,3,3,3,5,4,4
36,137,4,4,2,2,2,3,3,2
37,138,3,2,3,4,3,3,5,3
38,139,3,3,3,3,3,3,3,3
39,140,3,3,3,3,3,2,2,3
40,141,2,2,3,5,3,3,5,3
41,146,4,4,4,4,4,4,4,4
42,147,2,3,3,5,5,5,5,4
43,148,4,4,3,2,2,4,4,4
44,149,5,5,5,5,5,5,5,5
45,150,4,5,4,4,4,4,4,4
46,151,4,3,3,3,4,4,4,4
47,152,3,3,3,3,3,3,3,3
48,153,4,4,4,3,3,3,3,3
49,154,4,3,3,2,2,3,4,4
50,155,3,3,4,5,5,3,3,4
51,156,3,3,3,3,3,3,3,3
52,157,2,2,5,5,5,5,5,5
53,158,3,3,3,4,3,5,5,4
54,159,3,3,3,2,3,2,2,3
55,160,3,2,4,3,3,5,5,4
56,161,3,3,5,5,5,5,5,5
57,162,5,5,5,5,5,5,5,5
58,163,2,1,2,5,3,5,5,5
59,164,4,4,3,3,4,3,3,3
60,165,2,3,3,2,4,3,5,4
61,166,2,3,3,4,3,5,4,3
62,167,2,2,2,2,2,2,1,2
63,168,3,3,3,3,3,3,3,3
64,169,2,3,3,4,3,2,2,2
65,170,1,1,2,5,5,5,5,3
66,171,1,1,3,3,3,3,3,4
67,172,3,3,3,3,3,4,3,4
68,173,3,3,2,3,2,4,4,3
69,174,4,3,5,5,4,3,5,3
70,175,3,3,2,5,4,4,4,3
71,176,1,1,3,3,3,3,3,3
72,177,3,3,4,4,4,4,4,4
73,178,2,2,4,4,4,5,5,5
74,179,1,1,4,5,3,5,4,4
75,180,2,1,5,4,4,4,4,4
76,181,1,1,1,1,1,1,1,1
77,181,1,1,5,5,5,4,4,4
78,183,1,1,5,5,5,5,5,4
79,184,2,2,3,3,4,4,4,3
80,185,3,1,3,1,2,2,2,2
81,186,3,2,2,3,3,3,3,2
82,187,1,1,4,4,4,4,5,4
83,188,2,2,3,5,5,5,5,3
84,191,2,2,3,4,4,4,3,3
85,192,4,3,3,3,3,3,3,3
86,193,3,3,3,3,3,3,3,3
87,194,4,3,2,4,4,4,4,4
88,195,3,3,3,3,2,2,2,5
89,196,3,3,1,2,3,5,5,5
90,197,4,3,3,2,2,3,3,4
91,198,2,2,3,3,5,5,5,4
92,199,3,4,3,2,4,4,4,5
93,200,4,4,4,5,4,5,4,2
94,201,1,1,4,1,1,4,1,1
95,202,4,4,2,2,2,3,5,3
96,203,5,5,1,1,1,1,1,3
97,204,1,2,3,5,4,5,4,4
98,209,3,3,3,4,3,2,4,2
99,210,3,2,4,4,4,4,4,4
100,212,1,1,2,3,3,3,3,3
101,213,3,3,3,3,3,3,3,3
102,215,2,2,3,5,3,5,5,3
103,216,2,2,3,5,3,3,3,3
104,221,3,3,4,2,1,1,2,3
105,223,2,2,3,4,4,5,5,5
106,224,2,2,3,4,4,4,4,4
107,225,1,1,2,2,2,2,2,2
108,226,2,2,3,3,3,3,3,4
109,228,2,2,4,4,3,3,3,4
110,229,2,2,3,2,3,3,3,2
111,230,4,4,4,4,4,4,4,4